"line_id","line_type","speaker","audio_path","status","size_bytes","recording_queue_status","packet_status","source_ref"
"vo_act_i_0001","act_i_scene","CORVIN","vo/act_i/unlocated/mudflats_wake_001_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:12"
"vo_act_i_0002","act_i_scene","CORVIN","vo/act_i/unlocated/mudflats_wake_002_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:14"
"vo_act_i_0003","act_i_scene","CORVIN","vo/act_i/unlocated/mudflats_wake_003_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:16"
"vo_act_i_0004","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_silt_004_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:22"
"vo_act_i_0005","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_silt_005_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:24"
"vo_act_i_0006","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_silt_006_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:26"
"vo_act_i_0007","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_hands_007_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:32"
"vo_act_i_0008","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_hands_008_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:34"
"vo_act_i_0009","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_hands_009_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:36"
"vo_act_i_0010","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_hands_010_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:38"
"vo_act_i_0011","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_harbor_view_011_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:44"
"vo_act_i_0012","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_harbor_view_012_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:46"
"vo_act_i_0013","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_harbor_view_013_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:48"
"vo_act_i_0014","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_coat_wet_014_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:54"
"vo_act_i_0015","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_coat_wet_015_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:56"
"vo_act_i_0016","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_coat_wet_016_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:58"
"vo_act_i_0018","act_i_scene","CORVIN","vo/act_i/mudflats/mudflats_coat_wet_018_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:62"
"vo_act_i_0019","act_i_scene","TOMAS","vo/act_i/old_quay/old_quay_tomas_019_tomas.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:68"
"vo_act_i_0021","act_i_scene","TOMAS","vo/act_i/old_quay/old_quay_tomas_021_tomas.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:72"
"vo_act_i_0022","act_i_scene","CORVIN","vo/act_i/old_quay/old_quay_tomas_022_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:74"
"vo_act_i_0023","act_i_scene","TOMAS","vo/act_i/old_quay/old_quay_tomas_023_tomas.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:76"
"vo_act_i_0024","act_i_scene","CORVIN","vo/act_i/old_quay/old_quay_tomas_024_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:78"
"vo_act_i_0025","act_i_scene","TOMAS","vo/act_i/old_quay/old_quay_tomas_025_tomas.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:80"
"vo_act_i_0026","act_i_scene","CORVIN","vo/act_i/old_quay/old_quay_tomas_026_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:82"
"vo_act_i_0027","act_i_scene","TOMAS","vo/act_i/old_quay/old_quay_tomas_027_tomas.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:84"
"vo_act_i_0029","act_i_scene","CORVIN","vo/act_i/old_quay/old_quay_tomas_029_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:88"
"vo_act_i_0030","act_i_scene","TOMAS","vo/act_i/old_quay/old_quay_tomas_030_tomas.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:90"
"vo_act_i_0031","act_i_scene","TOMAS","vo/act_i/old_quay/old_quay_tomas_031_tomas.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:92"
"vo_act_i_0032","act_i_scene","CORVIN","vo/act_i/old_quay/old_quay_tomas_032_corvin.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:94"
"vo_act_i_0033","act_i_scene","TOMAS","vo/act_i/old_quay/old_quay_tomas_033_tomas.mp3","missing","0","scratch_ready","scratch_ready_packeted","ink/prologue.ink:96"
